x-axis,MATH
second,Volt
-25.0000E-06,+4.8195687532E+00
-24.5000E-06,+4.8195687532E+00
-24.0000E-06,+4.8234750032E+00
-23.5000E-06,+4.8195687532E+00
-23.0000E-06,+4.8234750032E+00
-22.5000E-06,+4.7726937532E+00
-22.0000E-06,-6.4694937468E+00
-21.5000E-06,-6.6218374968E+00
-21.0000E-06,-6.6491812468E+00
-20.5000E-06,-6.6569937468E+00
-20.0000E-06,-6.6608999968E+00
-19.5000E-06,-6.6687124968E+00
-19.0000E-06,-6.6530874968E+00
-18.5000E-06,-6.6569937468E+00
-18.0000E-06,-6.6413687468E+00
-17.5000E-06,-6.6374624968E+00
-17.0000E-06,-6.6335562468E+00
-16.5000E-06,-6.6218374968E+00
-16.0000E-06,-6.5749624968E+00
-15.5000E-06,-6.5476187468E+00
-15.0000E-06,-6.5163687468E+00
-14.5000E-06,-6.4577749968E+00
-14.0000E-06,-6.0593374968E+00
-13.5000E-06,-516.3687468E-03
-13.0000E-06,+4.8430062532E+00
-12.5000E-06,+4.8469125032E+00
-12.0000E-06,+4.8391000032E+00
-11.5000E-06,+4.8430062532E+00
-11.0000E-06,+4.8469125032E+00
-10.5000E-06,+4.8430062532E+00
-10.0000E-06,+4.8430062532E+00
-9.5000E-06,+4.8469125032E+00
-9.0000E-06,+4.8273812532E+00
-8.5000E-06,+4.8469125032E+00
-8.0000E-06,+4.8312875032E+00
-7.5000E-06,+4.8273812532E+00
-7.0000E-06,+4.8273812532E+00
-6.5000E-06,+4.8234750032E+00
-6.0000E-06,+4.8273812532E+00
-5.5000E-06,+4.8234750032E+00
-5.0000E-06,+4.8273812532E+00
-4.5000E-06,+4.8117562532E+00
-4.0000E-06,+4.8195687532E+00
-3.5000E-06,+4.8078500032E+00
-3.0000E-06,+4.8117562532E+00
-2.5000E-06,+4.7805062532E+00
-2.0000E-06,-6.4499624968E+00
-1.5000E-06,-6.6335562468E+00
-1.0000E-06,-6.6413687468E+00
-500.0E-09,-6.6530874968E+00
-0.0E+00,-6.6765249968E+00
+500.0E-09,-6.6687124968E+00
+1.0000E-06,-6.6608999968E+00
+1.5000E-06,-6.6765249968E+00
+2.0000E-06,-6.6608999968E+00
+2.5000E-06,-6.6413687468E+00
+3.0000E-06,-6.6335562468E+00
+3.5000E-06,-6.6062124968E+00
+4.0000E-06,-6.5788687468E+00
+4.5000E-06,-6.5515249968E+00
+5.0000E-06,-6.5202749968E+00
+5.5000E-06,-6.4773062468E+00
+6.0000E-06,-6.0593374968E+00
+6.5000E-06,-547.6187468E-03
+7.0000E-06,+4.8351937532E+00
+7.5000E-06,+4.8391000032E+00
+8.0000E-06,+4.8508187532E+00
+8.5000E-06,+4.8469125032E+00
+9.0000E-06,+4.8508187532E+00
+9.5000E-06,+4.8547250032E+00
+10.0000E-06,+4.8586312532E+00
+10.5000E-06,+4.8547250032E+00
+11.0000E-06,+4.8430062532E+00
+11.5000E-06,+4.8391000032E+00
+12.0000E-06,+4.8312875032E+00
+12.5000E-06,+4.8273812532E+00
+13.0000E-06,+4.8312875032E+00
+13.5000E-06,+4.8234750032E+00
+14.0000E-06,+4.8156625032E+00
+14.5000E-06,+4.8273812532E+00
+15.0000E-06,+4.8234750032E+00
+15.5000E-06,+4.8312875032E+00
+16.0000E-06,+4.8234750032E+00
+16.5000E-06,+4.8195687532E+00
+17.0000E-06,+4.8195687532E+00
+17.5000E-06,+4.7883187532E+00
+18.0000E-06,-6.4538687468E+00
+18.5000E-06,-6.6413687468E+00
+19.0000E-06,-6.6608999968E+00
+19.5000E-06,-6.6491812468E+00
+20.0000E-06,-6.6530874968E+00
+20.5000E-06,-6.6569937468E+00
+21.0000E-06,-6.6648062468E+00
+21.5000E-06,-6.6491812468E+00
+22.0000E-06,-6.6530874968E+00
+22.5000E-06,-6.6374624968E+00
+23.0000E-06,-6.6335562468E+00
+23.5000E-06,-6.6062124968E+00
+24.0000E-06,-6.5905874968E+00
+24.5000E-06,-6.5710562468E+00
